iter	Passed	Remaining
250	741	2211
251	743	2207
252	746	2202
253	748	2197
254	750	2193
255	753	2189
256	755	2185
257	758	2180
258	760	2175
259	762	2171
260	765	2166
261	767	2162
262	770	2157
263	772	2154
264	775	2151
265	778	2148
266	781	2145
267	784	2143
268	787	2139
269	790	2136
270	792	2133
271	795	2129
272	798	2126
273	801	2123
274	803	2119
275	806	2116
276	809	2113
277	812	2109
278	815	2106
279	817	2103
280	820	2099
281	823	2095
282	825	2091
283	827	2087
284	830	2083
285	832	2078
286	835	2074
287	837	2070
288	840	2066
289	842	2062
290	844	2058
291	847	2054
292	849	2050
293	851	2045
294	853	2040
295	856	2036
296	859	2034
297	861	2029
298	864	2025
299	866	2022
300	869	2018
301	871	2013
302	873	2009
303	875	2005
304	878	2001
305	880	1997
306	883	1994
307	886	1991
308	888	1987
309	890	1983
310	893	1979
311	895	1975
312	898	1971
313	900	1967
314	903	1963
315	905	1960
316	908	1957
317	910	1953
318	913	1949
319	915	1945
320	918	1942
321	920	1938
322	923	1934
323	925	1931
324	928	1928
325	931	1925
326	934	1923
327	937	1921
328	941	1919
329	944	1918
330	948	1916
331	951	1915
332	954	1912
333	958	1910
334	961	1908
335	965	1907
336	968	1905
337	971	1903
338	975	1901
339	978	1900
340	982	1899
341	986	1897
342	989	1895
343	992	1893
344	995	1890
345	998	1888
346	1002	1885
347	1005	1883
348	1008	1880
349	1011	1878
350	1014	1875
351	1017	1872
352	1020	1870
353	1023	1867
354	1026	1865
355	1029	1862
356	1032	1859
357	1035	1856
358	1038	1854
359	1041	1851
360	1044	1848
361	1047	1846
362	1050	1844
363	1053	1841
364	1057	1839
365	1060	1836
366	1063	1833
367	1066	1830
368	1069	1828
369	1072	1825
370	1075	1823
371	1078	1820
372	1081	1818
373	1085	1816
374	1088	1814
375	1091	1810
376	1094	1808
377	1097	1805
378	1100	1803
379	1103	1800
380	1107	1798
381	1110	1796
382	1113	1793
383	1116	1791
384	1119	1788
385	1122	1785
386	1126	1783
387	1129	1780
388	1132	1779
389	1135	1776
390	1139	1774
391	1142	1771
392	1144	1768
393	1148	1765
394	1150	1762
395	1154	1760
396	1157	1757
397	1160	1754
398	1163	1752
399	1166	1749
400	1169	1747
401	1173	1744
402	1175	1741
403	1178	1738
404	1181	1736
405	1184	1733
406	1187	1730
407	1190	1727
408	1193	1724
409	1195	1720
410	1198	1717
411	1201	1714
412	1204	1711
413	1207	1708
414	1210	1705
415	1213	1702
416	1215	1699
417	1218	1696
418	1221	1694
419	1224	1691
420	1227	1687
421	1230	1684
422	1232	1681
423	1235	1678
424	1238	1675
425	1241	1672
426	1244	1669
427	1247	1666
428	1249	1663
429	1252	1660
430	1255	1656
431	1258	1654
432	1260	1651
433	1263	1647
434	1266	1644
435	1269	1641
436	1271	1638
437	1274	1635
438	1277	1632
439	1280	1629
440	1282	1626
441	1285	1623
442	1288	1620
443	1291	1617
444	1294	1614
445	1297	1611
446	1300	1608
447	1302	1605
448	1305	1602
449	1308	1599
450	1311	1596
451	1314	1593
452	1317	1590
453	1319	1587
454	1322	1583
455	1325	1580
456	1327	1577
457	1330	1574
458	1333	1571
459	1336	1568
460	1339	1565
461	1341	1562
462	1345	1560
463	1347	1556
464	1350	1553
465	1353	1550
466	1356	1547
467	1358	1544
468	1361	1541
469	1364	1538
470	1367	1535
471	1369	1532
472	1372	1529
473	1375	1526
474	1378	1523
475	1381	1520
476	1384	1517
477	1386	1514
478	1389	1511
479	1392	1508
480	1394	1505
481	1397	1501
482	1400	1498
483	1403	1496
484	1406	1493
485	1409	1490
486	1411	1487
487	1414	1483
488	1416	1480
489	1419	1477
490	1422	1474
491	1424	1470
492	1427	1467
493	1429	1464
494	1432	1461
495	1434	1457
496	1437	1454
497	1439	1451
498	1442	1447
499	1444	1444
500	1447	1441
501	1449	1438
502	1452	1434
503	1454	1431
504	1457	1428
505	1459	1425
506	1462	1421
507	1465	1419
508	1468	1416
509	1471	1413
510	1473	1410
511	1476	1407
512	1478	1404
513	1481	1400
514	1484	1397
515	1486	1394
516	1489	1391
517	1491	1387
518	1493	1384
519	1496	1381
520	1498	1377
521	1501	1374
522	1503	1371
523	1506	1368
524	1508	1365
525	1511	1361
526	1513	1358
527	1515	1355
528	1518	1351
529	1520	1348
530	1523	1345
531	1525	1342
532	1528	1339
533	1530	1335
534	1532	1332
535	1535	1329
536	1537	1325
537	1540	1322
538	1542	1319
539	1545	1316
540	1548	1313
541	1550	1310
542	1553	1307
543	1555	1303
544	1557	1300
545	1560	1297
546	1562	1294
547	1565	1291
548	1567	1288
549	1570	1284
550	1573	1281
551	1575	1278
552	1578	1275
553	1580	1272
554	1582	1269
555	1585	1265
556	1587	1262
557	1590	1259
558	1592	1256
559	1595	1253
560	1597	1250
561	1600	1247
562	1603	1244
563	1605	1241
564	1608	1238
565	1610	1234
566	1613	1231
567	1615	1228
568	1618	1225
569	1620	1222
570	1623	1219
571	1625	1216
572	1628	1213
573	1630	1210
574	1633	1207
575	1636	1204
576	1638	1201
577	1641	1198
578	1643	1195
579	1646	1192
580	1649	1189
581	1651	1186
582	1654	1183
583	1656	1179
584	1658	1176
585	1661	1173
586	1663	1170
587	1666	1167
588	1668	1164
589	1671	1161
590	1673	1158
591	1676	1155
592	1678	1151
593	1680	1148
594	1683	1145
595	1685	1142
596	1687	1139
597	1690	1136
598	1692	1133
599	1694	1129
600	1696	1126
601	1699	1123
602	1702	1120
603	1704	1117
604	1707	1114
605	1709	1111
606	1712	1108
607	1714	1105
608	1717	1102
609	1719	1099
610	1722	1096
611	1724	1093
612	1727	1090
613	1729	1087
614	1731	1084
615	1734	1080
616	1736	1078
617	1739	1075
618	1741	1071
619	1743	1068
620	1746	1066
621	1749	1062
622	1751	1059
623	1754	1056
624	1756	1053
625	1758	1050
626	1761	1047
627	1763	1044
628	1766	1041
629	1768	1038
630	1770	1035
631	1773	1032
632	1775	1029
633	1778	1026
634	1780	1023
635	1783	1020
636	1785	1017
637	1788	1014
638	1790	1011
639	1793	1008
640	1795	1005
641	1797	1002
642	1800	999
643	1802	996
644	1805	993
645	1807	990
646	1809	987
647	1812	984
648	1814	981
649	1816	978
650	1819	975
651	1821	972
652	1823	969
653	1826	966
654	1828	963
655	1830	959
656	1833	957
657	1835	954
658	1837	951
659	1840	947
660	1842	945
661	1845	942
662	1847	939
663	1850	936
664	1853	933
665	1856	930
666	1858	927
667	1861	925
668	1863	922
669	1866	919
670	1868	916
671	1871	913
672	1873	910
673	1875	907
674	1878	904
675	1880	901
676	1883	898
677	1885	895
678	1888	892
679	1891	890
680	1893	887
681	1896	884
682	1899	881
683	1901	878
684	1903	875
685	1906	872
686	1908	869
687	1911	866
688	1914	863
689	1916	860
690	1918	858
691	1921	855
692	1923	852
693	1925	849
694	1928	846
695	1930	843
696	1932	840
697	1934	837
698	1937	834
699	1939	831
700	1941	828
701	1943	825
702	1946	822
703	1948	819
704	1950	816
705	1952	813
706	1954	810
707	1957	807
708	1959	804
709	1962	801
710	1964	798
711	1967	795
712	1969	792
713	1972	790
714	1975	787
715	1977	784
716	1980	781
717	1982	778
718	1986	776
719	1988	773
720	1991	770
721	1993	767
722	1996	764
723	1998	761
724	2001	759
725	2003	756
726	2005	753
727	2008	750
728	2011	747
729	2013	744
730	2015	741
731	2018	738
732	2020	736
733	2023	733
734	2026	730
735	2028	727
736	2031	724
737	2033	721
738	2035	719
739	2038	716
740	2040	713
741	2043	710
742	2045	707
743	2047	704
744	2049	701
745	2052	698
746	2054	695
747	2056	692
748	2059	690
749	2061	687
750	2064	684
751	2066	681
752	2069	678
753	2071	675
754	2074	673
755	2076	670
756	2078	667
757	2081	664
758	2083	661
759	2085	658
760	2088	655
761	2090	653
762	2093	650
763	2095	647
764	2097	644
765	2100	641
766	2102	638
767	2105	635
768	2107	633
769	2109	630
770	2112	627
771	2114	624
772	2116	621
773	2119	618
774	2122	616
775	2124	613
776	2127	610
777	2129	607
778	2132	605
779	2134	602
780	2137	599
781	2140	596
782	2142	593
783	2144	590
784	2147	588
785	2150	585
786	2152	582
787	2155	579
788	2157	577
789	2160	574
790	2162	571
791	2164	568
792	2167	565
793	2169	562
794	2171	560
795	2174	557
796	2176	554
797	2179	551
798	2181	548
799	2183	545
800	2186	543
801	2188	540
802	2190	537
803	2193	534
804	2195	531
805	2197	529
806	2200	526
807	2202	523
808	2204	520
809	2207	517
810	2209	514
811	2211	512
812	2214	509
813	2216	506
814	2219	503
815	2221	500
816	2224	498
817	2226	495
818	2228	492
819	2231	489
820	2233	486
821	2236	484
822	2238	481
823	2241	478
824	2243	475
825	2246	473
826	2248	470
827	2251	467
828	2253	464
829	2255	462
830	2258	459
831	2260	456
832	2262	453
833	2265	450
834	2267	448
835	2269	445
836	2271	442
837	2273	439
838	2276	436
839	2278	433
840	2281	431
841	2283	428
842	2285	425
843	2288	422
844	2290	420
845	2293	417
846	2295	414
847	2297	411
848	2299	409
849	2302	406
850	2304	403
851	2306	400
852	2309	397
853	2312	395
854	2314	392
855	2317	389
856	2319	387
857	2321	384
858	2324	381
859	2326	378
860	2328	375
861	2331	373
862	2333	370
863	2336	367
864	2338	364
865	2341	362
866	2343	359
867	2345	356
868	2348	353
869	2350	351
870	2352	348
871	2355	345
872	2357	343
873	2360	340
874	2362	337
875	2365	334
876	2367	332
877	2369	329
878	2372	326
879	2374	323
880	2377	321
881	2380	318
882	2383	315
883	2386	313
884	2389	310
885	2391	307
886	2394	305
887	2397	302
888	2399	299
889	2401	296
890	2403	294
891	2406	291
892	2408	288
893	2411	285
894	2413	283
895	2415	280
896	2417	277
897	2420	274
898	2422	272
899	2425	269
900	2427	266
901	2430	264
902	2432	261
903	2434	258
904	2437	255
905	2440	253
906	2442	250
907	2444	247
908	2447	244
909	2449	242
910	2451	239
911	2454	236
912	2456	234
913	2459	231
914	2461	228
915	2464	225
916	2466	223
917	2469	220
918	2471	217
919	2473	215
920	2475	212
921	2478	209
922	2480	206
923	2483	204
924	2485	201
925	2488	198
926	2490	196
927	2493	193
928	2496	190
929	2498	188
930	2500	185
931	2504	182
932	2506	179
933	2508	177
934	2511	174
935	2513	171
936	2516	169
937	2518	166
938	2521	163
939	2523	161
940	2526	158
941	2528	155
942	2531	152
943	2533	150
944	2536	147
945	2538	144
946	2541	142
947	2543	139
948	2545	136
949	2547	134
950	2550	131
951	2553	128
952	2555	126
953	2557	123
954	2560	120
955	2563	117
956	2565	115
957	2567	112
958	2570	109
959	2572	107
960	2574	104
961	2577	101
962	2579	99
963	2582	96
964	2584	93
965	2587	91
966	2589	88
967	2592	85
968	2594	83
969	2597	80
970	2600	77
971	2602	74
972	2604	72
973	2607	69
974	2609	66
975	2611	64
976	2614	61
977	2617	58
978	2619	56
979	2622	53
980	2624	50
981	2627	48
982	2631	45
983	2634	42
984	2637	40
985	2640	37
986	2643	34
987	2646	32
988	2649	29
989	2652	26
990	2656	24
991	2659	21
992	2662	18
993	2665	16
994	2668	13
995	2671	10
996	2675	8
997	2678	5
998	2681	2
999	2685	0
